"finding_id","category","severity","status","summary","evidence","potential_impact","recommendation","affected_displays_or_models","implementation_source"
"ASSESS-001","Overall methodology","Strength","Confirmed","The transaction ledger is consistently treated as the accounting source of truth.","Cash, positions, FIFO lots, and ledger entries are deterministically replayed from canonical dated transactions.","Creates reproducible balances and supports audit reconciliation.","Retain ledger authority and add periodic replay-integrity checks to the validation checklist.","Cash; holdings; basis; performance; transaction history","chat_alpaca/portfolio_service.py:replay_portfolio"
"ASSESS-002","Valuation","Strength","Confirmed","Confirmed portfolio valuation requires complete prices and uses one common closing date across active symbols.","The common date is the minimum of each held symbol's latest confirmed price date; missing symbols make the valuation incomplete.","Prevents understated totals and mixed-date portfolio values.","Retain and expose the common valuation date prominently.","Selected Totals; portfolio cards; forecast starting value","chat_alpaca/analytics.py:portfolio_valuation"
"ASSESS-003","Price adjustment","Strength","Confirmed","Portfolio accounting uses split-adjusted, non-dividend-adjusted closes while dividends remain ledger cash.","Benchmark comparison uses total-return data separately.","Avoids double counting portfolio dividends while permitting fair total-return benchmark comparison.","Retain strict dataset adjustment separation and provenance.","Portfolio value; performance; Alpha/Beta; Compare","docs/architecture/data-source-policy.md"
"ASSESS-004","Performance","Strength","Confirmed","Daily gain and TWR remove designated external investor flows.","DailyGain equals value change less external flow; TWR geometrically chains the resulting daily return.","Appropriate measurement of investment performance independent of contributions and withdrawals.","Retain after adding awards to external-flow classification.","Daily gain; Custom gain; TWR; Growth of $100","chat_alpaca/reconstruction.py:_daily_for_portfolio"
"ASSESS-005","Performance semantics","Critical","Approved change","All-time gain/loss does not consistently mean inception through today.","Market data acquisition and reconstruction can terminate at the applied master end date; live overlay is added only when that end date is today.","A historical Custom End can change a metric labeled All-time.","Calculate all-time independently from inception through today. Keep Custom End limited to custom/range metrics.","All-time gain/loss; combined all-time; per-portfolio all-time","chat_alpaca/analytics.py:portfolio_gain_loss; streamlit_app.py:get_prices"
"ASSESS-006","Flow classification","Critical","Approved change","Awards currently count as investment performance but the owner defines them as external contributions.","Award is absent from EXTERNAL_FLOW_KINDS and EXTERNAL_FLOW_KINDS/EXTERNAL_CASH_FLOW_KINDS equivalents.","Awards inflate gain/loss and TWR rather than being neutral investor flows.","Add award to external-flow classification in reconstruction and analytics, and add regression tests.","All-time; Daily; Custom; TWR; Growth of $100; Alpha/Beta","chat_alpaca/reconstruction.py; chat_alpaca/analytics.py"
"ASSESS-007","Comparison metrics","Critical","Change recommended","Insufficient history is displayed as zero return, zero volatility, and zero drawdown.","summary_metrics returns four zeros when fewer than two usable values exist.","Zero is a valid financial result and falsely implies evidence.","Return null/unavailable and disclose the observation count.","Compare Total return; Annualized return; Volatility; Max drawdown","chat_alpaca/analytics.py:summary_metrics"
"ASSESS-008","Holding labels","Critical","Change recommended","Holding All time and Custom values are current-lot unrealized price measures, not ledger-aware performance.","The holding table values only current FIFO lots and excludes sold positions and most income/expense effects.","Users can incorrectly reconcile these fields to portfolio total gain/loss.","Rename them Unrealized gain/loss and Current-lot custom price change, with explanatory captions.","Exact holdings All time; Custom","chat_alpaca/analytics.py:consolidated_holdings"
"ASSESS-009","Holding daily period","High","Change recommended","Holding Day can span more than one market session.","The calculation uses the last two available price observations without verifying consecutive completed sessions.","A data gap can make a multi-day move appear as one-day P/L.","Require consecutive market sessions or display the two actual dates.","Exact holdings Day","chat_alpaca/analytics.py:consolidated_holdings"
"ASSESS-010","Fractional holdings","High","Review","Holding shares are displayed with zero decimals in the exact-holdings tables.","The calculation preserves fractional quantities but the Streamlit column formatter uses zero decimals.","Visible values may not reproduce market value or basis for fractional positions.","Display enough decimal places when any fractional shares exist.","Exact holdings Shares","streamlit_app.py:render_consolidated_holdings"
