"audit_id","ui_tab","ui_section","displayed_field","field_class","source_authority","current_explanation","current_formula","google_sheets_formula_template","required_inputs","units","date_scope","rounding_rule","validation_tolerance","missing_data_behavior","methodology_assessment","severity","approved_target_methodology","implementation_source","validation_status","notes"
"CONVENTION-001","All","Audit conventions","Google Sheets formula convention","documentation","Calculations Audit","Formula templates begin with an apostrophe so Google Sheets imports them as readable text. Remove the apostrophe after creating the referenced Transactions, Prices, Returns, Quotes, Scenarios, or Simulations sheet.","N/A","'=SUM(1,1)","Referenced source tabs and columns","N/A","N/A","N/A","Exact text","N/A","Google Sheets compatible documentation convention.","Info","Keep formula templates as text in the audit; activate them only in a validation workbook.","Calculations Audit.csv","Approved","Currency checks use unrounded source values before display formatting."
"GLOBAL-001","All","Master controls","Selected portfolios","user-input","Streamlit session state","Controls which portfolios are included in applicable reports.","Scope = distinct selected portfolio IDs","'=FILTER(Portfolios!A:Z,COUNTIF(Selected_Portfolios!A:A,Portfolios!A:A)>0)","Portfolio IDs","IDs","Applied selection","N/A","Exact set equality","No selection is rejected when portfolios exist.","Appropriate scope control.","Low","Retain explicit applied scope.","streamlit_app.py:render_master_controls","Documented",""
"GLOBAL-002","All","Master controls","Custom Start","user-input","Streamlit session state","Confirmed all-time performance runs from inception through the latest complete confirmed valuation date, independent of Custom Start/End; any live overlay is separately labeled indicative with timestamp and provenance.","Start = applied master start date","'=DATEVALUE(Inputs!B2)","Applied start date","Date","Selected range","M/D/YY display","Exact date","Start after end is rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Low","Retain; it must not change all-time gain/loss.","streamlit_app.py:render_master_controls","Implemented and tested","Confirmed all-time performance runs from inception through the latest complete confirmed valuation date, independent of Custom Start/End; any live overlay is separately labeled indicative with timestamp and provenance."
"GLOBAL-003","All","Master controls","Custom End","user-input","Streamlit session state","Confirmed all-time performance runs from inception through the latest complete confirmed valuation date, independent of Custom Start/End; any live overlay is separately labeled indicative with timestamp and provenance.","End = applied master end date","'=DATEVALUE(Inputs!B3)","Applied end date","Date","Selected range","M/D/YY display","Exact date","Start after end is rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","All-time must always end today; only range metrics use this date.","streamlit_app.py:render_master_controls","Implemented and tested","Confirmed all-time performance runs from inception through the latest complete confirmed valuation date, independent of Custom Start/End; any live overlay is separately labeled indicative with timestamp and provenance."
"LEDGER-001","Overview; Manage","Ledger reconstruction","Cash balance","ledger-derived","Canonical transaction ledger","Adds every transaction cash effect in date and ID order.","Cash_t = SUM(cash_delta_i for date_i <= t)","'=SUMIFS(Transactions!J:J,Transactions!B:B,""<=""&Inputs!B3,Transactions!A:A,SelectedPortfolioID)","Transaction date; portfolio; cash_delta","USD","Through valuation date","Database money precision; UI varies","$0.01 raw; $0.50 zero-decimal display","No transactions produces zero cash.","Strong source-of-truth design.","Critical","Retain canonical ledger calculation.","chat_alpaca/portfolio_service.py:replay_portfolio","Requires reconciliation","Validate every transaction type sign."
"LEDGER-002","Overview; Manage","Ledger reconstruction","Position shares","ledger-derived","Canonical transaction ledger","Opening positions and buys add shares; sells subtract shares.","Shares_s,t = SUM(opening_qty + buy_qty - sell_qty)","'=SUMPRODUCT((Transactions!E:E=Symbol)*(Transactions!B:B<=AsOfDate)*IF(Transactions!D:D=""Sell"",-Transactions!F:F,IF(REGEXMATCH(Transactions!D:D,""Buy|Opening""),Transactions!F:F,0)))","Symbol; type; quantity; date","Shares","Through valuation date","UI usually 2 or 0 decimals","0.00000001 shares raw","Missing transaction data makes reconstruction unreliable.","Strong.","Critical","Retain deterministic reconstruction.","chat_alpaca/reconstruction.py:_daily_for_portfolio","Requires reconciliation","Same-day order uses transaction ID."
"LEDGER-003","Overview; Manage","FIFO lots","FIFO sale reduction","calculated","Canonical transaction ledger","Sells consume oldest positive lots first; an excess creates a negative short lot.","Consumed_i = MIN(open_lot_shares_i, remaining_sale), oldest lot first","'=MIN(OpenLotShares,RemainingSaleQuantity)","Open lots ordered by acquisition and transaction ID; sale quantity","Shares","Sale date","Database quantity precision","0.00000001 shares","Insufficient long shares creates a short lot.","Correct FIFO mechanics; short controls are separate.","Critical","Retain FIFO. Add explicit short-position validation before enabling short trading.","chat_alpaca/portfolio_service.py:_reduce_fifo_or_short","Requires reconciliation",""
"LEDGER-004","Manage","Add/edit transaction","Calculated buy cash change","calculated","Transaction command","Buy notional and fees reduce cash.","CashDelta = -(Quantity*Price + Fees)","'=-(F2*G2+H2)","Quantity; price; fees","USD","Transaction date","$0.0001 internally/display editor","$0.01 accounting; formula exact to stored precision","Invalid or nonpositive position fields are rejected.","Correct.","Critical","Retain.","chat_alpaca/commands.py:calculated_trade_cash","Requires unit test",""
"LEDGER-005","Manage","Add/edit transaction","Calculated sell cash change","calculated","Transaction command","Sale proceeds less fees increase cash.","CashDelta = Quantity*Price - Fees","'=F2*G2-H2","Quantity; price; fees","USD","Transaction date","$0.0001 internally/display editor","$0.01 accounting; formula exact to stored precision","Invalid or nonpositive position fields are rejected.","Correct.","Critical","Retain.","chat_alpaca/commands.py:calculated_trade_cash","Requires unit test",""
"LEDGER-006","Overview; Compare","External flows","Transfers and cash adjustments","calculated-classification","Canonical transaction ledger","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable.","ExternalFlow = cash_delta for transfer/cash_adjustment/award plus explicitly recorded quantity-award fair value","'=SUM(SUMIFS(Transactions!J:J,Transactions!D:D,{""Transfer"",""Cash Adjustment""},Transactions!B:B,AsOfDate))","Type; cash_delta; date","USD","Relevant performance period","Raw","$0.01","None defaults to zero.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Include awards as external flows.","chat_alpaca/reconstruction.py:EXTERNAL_FLOW_KINDS","Implemented and tested","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable."
